videoId,publishedAt,channelId,title,channelTitle,defaultAudioLanguage,viewCount,likeCount,commentCount,RTS: Critics (%),RTS: Audience (%),Ratio
5VYb3B1ETlk,2021-09-13T13:00:05Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios’ Hawkeye | Official Trailer | Disney+,Marvel Entertainment,en,22559943,922793,35448,92.0,89.0,636.4235781990521
u3V5KDHRQvk,2022-12-01T22:01:32Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios’ Guardians of the Galaxy Vol. 3 | Official Trailer,Marvel Entertainment,en,31837832,793415,39522,82.0,94.0,805.5723900612318
sj9J2ecsSpo,2020-09-21T01:03:04Z,UCvC4D8onUfXzvjTOM-dBfEA,WandaVision | Official Trailer | Disney+,Marvel Entertainment,en,24882188,778931,40069,91.0,87.0,620.9835034565375
ZlNFpri-Y40,2022-10-24T16:00:40Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios’ Ant-Man and The Wasp: Quantumania | Official Trailer,Marvel Entertainment,en,32792957,1021873,40785,46.0,83.0,804.0445506926566
u7JsKhI2An0,2022-07-24T00:21:21Z,UCvC4D8onUfXzvjTOM-dBfEA,Official Trailer | She-Hulk: Attorney at Law | Disney+,Marvel Entertainment,en,25434450,617110,40889,80.0,32.0,622.0364890312798
_Z3QKkl1WyM,2022-10-03T13:00:01Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios’ Black Panther: Wakanda Forever | Official Trailer,Marvel Entertainment,en,42594089,978489,45255,84.0,94.0,941.201834051486
x7Krla_UxRg,2022-01-18T03:00:07Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios’ Moon Knight | Official Trailer | Disney+,Marvel Entertainment,en,38941752,1277996,47098,86.0,89.0,826.8238991039959
x_me3xsvDgk,2021-08-19T07:00:05Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios’ Eternals | Final Trailer,Marvel Entertainment,en,45702454,856511,48001,47.0,77.0,952.1146226120289
go6GEIrcvFY,2018-07-21T18:56:04Z,UCjmJDM5pRKbUlVIzDYYWb6g,SHAZAM! - Official Teaser Trailer [HD],Warner Bros. Pictures,en,48967572,490668,52307,90.0,82.0,936.1571491387386
xjDjIWPwcPU,2017-10-16T13:00:07Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios' Black Panther - Official Trailer,Marvel Entertainment,en,53273293,560639,54895,96.0,79.0,970.4580198560889
m9EX0f6V11Y,2022-03-15T14:00:03Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios’ Ms. Marvel | Official Trailer | Disney+,Marvel Entertainment,en,24411765,839080,55500,98.0,80.0,439.85162162162163
ue80QwXMRHg,2017-07-23T01:27:50Z,UCvC4D8onUfXzvjTOM-dBfEA,"""Thor: Ragnarok"" Official Trailer",Marvel Entertainment,en,82305377,890739,59492,93.0,87.0,1383.4696597861898
Go8nTmfrQd8,2022-05-24T01:46:47Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios' Thor: Love and Thunder | Official Trailer,Marvel Entertainment,en,58234447,1621010,60712,63.0,77.0,959.1917083937277
sfM7_JLk-84,2019-12-08T21:02:09Z,UCjmJDM5pRKbUlVIzDYYWb6g,Wonder Woman 1984 – Official Trailer,Warner Bros. Pictures,en,42827829,717145,64511,58.0,73.0,663.8841282881989
3cxixDgHUYw,2017-03-25T15:00:01Z,UCjmJDM5pRKbUlVIzDYYWb6g,JUSTICE LEAGUE - Official Trailer 1,Warner Bros. Pictures,en,40432758,458963,65187,39.0,68.0,620.2579962262414
iuk77TjvfmE,2023-04-11T12:46:57Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios’ The Marvels | Teaser Trailer,Marvel Entertainment,en,19838353,529047,70626,,,280.89305638150256
CmRih_VtVAs,2016-01-20T02:58:04Z,UCjmJDM5pRKbUlVIzDYYWb6g,Suicide Squad - Official Trailer 1 [HD],Warner Bros. Pictures,en,96254914,777878,78384,26.0,58.0,1227.9918605837927
WDkg3h8PCVU,2018-07-21T19:24:00Z,UCjmJDM5pRKbUlVIzDYYWb6g,Aquaman - Official Trailer 1 - Now Playing In Theaters,Warner Bros. Pictures,en,65307542,678001,86244,65.0,72.0,757.2415704280877
aWzlQ2N6qqg,2022-02-13T23:12:44Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios' Doctor Strange in the Multiverse of Madness | Official Trailer,Marvel Entertainment,en,62941132,2120592,88513,74.0,85.0,711.0947770384012
0WWzgGyAH6Y,2015-07-11T19:09:23Z,UCjmJDM5pRKbUlVIzDYYWb6g,Batman v Superman: Dawn of Justice - Comic-Con Trailer [HD],Warner Bros. Pictures,,78366902,525604,89907,29.0,63.0,871.6440544117811
mqqft2x_Aa4,2021-10-16T20:36:30Z,UCjmJDM5pRKbUlVIzDYYWb6g,THE BATMAN – Main Trailer,Warner Bros. Pictures,en-US,58860325,1329449,96701,85.0,87.0,608.683726124859
Nt9L1jCKGnE,2019-05-06T13:00:32Z,UCz97F7dMxBNOfGYu3rx8aCw,SPIDER-MAN: FAR FROM HOME - Official Trailer,Sony Pictures Entertainment,en,87376520,1995573,105359,90.0,95.0,829.321842462438
dKrVegVI0Us,2016-03-10T17:00:57Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel's Captain America: Civil War - Trailer 2,Marvel Entertainment,en,88574329,803049,127842,90.0,89.0,692.842172369018
Z1BCujX3pw8,2018-09-18T12:38:13Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios' Captain Marvel - Official Trailer,Marvel Entertainment,en,62195966,1133845,141195,79.0,45.0,440.4969439427742
JfVOs4VSpmA,2021-11-17T01:30:05Z,UCz97F7dMxBNOfGYu3rx8aCw,SPIDER-MAN: NO WAY HOME - Official Trailer (HD),Sony Pictures Entertainment,en,79922472,2959368,176816,93.0,98.0,452.00927517871685
TcMBFSGVi1c,2019-03-14T12:05:18Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios' Avengers: Endgame - Official Trailer,Marvel Entertainment,en,155469507,3407257,261344,94.0,90.0,594.884546804212
6ZfuNTqbHE8,2017-11-29T13:26:24Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel Studios' Avengers: Infinity War Official Trailer,Marvel Entertainment,,259148256,4107400,455951,85.0,92.0,568.368653649186
