Video ID,Comment,Comment ID,Published At,Updated At,Likes
6ZfuNTqbHE8,Still get goosebumps no matter how many times I've watched it,Ugxv_veMtkNRDtuQ8Tx4AaABAg,2023-04-07T08:37:51Z,2023-04-07T08:37:51Z,0
6ZfuNTqbHE8,Man it’s been 5 years and this movie is still a master piece to bad it was one of your last,UgwgyGX-mB2pJvtWLH94AaABAg,2023-04-07T04:31:48Z,2023-04-07T04:31:48Z,0
6ZfuNTqbHE8,April 6th 2023 time is 10:57 pm and I'm watching this ❤️,UgyFglqQ6CBw203JPxF4AaABAg,2023-04-06T17:27:15Z,2023-04-06T17:27:15Z,2
6ZfuNTqbHE8,Watching this masterpiece currently.,UgxtVnlZAedtZ_tgp2d4AaABAg,2023-04-06T15:02:42Z,2023-04-06T15:02:42Z,2
6ZfuNTqbHE8,We need these type movies again in mcu,UgzSbFrUHAHTepFvjj94AaABAg,2023-04-06T14:11:41Z,2023-04-06T14:11:41Z,3
6ZfuNTqbHE8,"This was marvel's prime, the days when they spend time on character depth, plot and visual effects. Now they are rushing so many movies with great potential",Ugy7QydVVoKNhjB63-R4AaABAg,2023-04-06T13:34:05Z,2023-04-06T13:34:05Z,2
6ZfuNTqbHE8,Watching 2023 😢❤️❤️,UgxnypXk3JNz1dOhZ0R4AaABAg,2023-04-06T08:16:59Z,2023-04-06T08:16:59Z,0
6ZfuNTqbHE8,I can’t believe it’s been 5 years i Reiner watching it in 4th grade now I’m in highschoool I was so hyped,UgycsUPgycE-4OCxyqp4AaABAg,2023-04-06T01:22:08Z,2023-04-06T01:22:08Z,0
6ZfuNTqbHE8,It's 2023 but it still gives goosebumps!,Ugy49RiT5aMv_VjAcnJ4AaABAg,2023-04-06T00:36:54Z,2023-04-06T00:36:54Z,0
6ZfuNTqbHE8,We were happy and we didn't know it😢,UgzNSriRE2wQbExZM9F4AaABAg,2023-04-05T21:03:15Z,2023-04-05T21:03:15Z,0
6ZfuNTqbHE8,I wish i can eraser memories to watch it again for the first time love you 3000 ❤,UgxPxeC4BcHAYUtJXrZ4AaABAg,2023-04-05T15:17:31Z,2023-04-05T15:17:31Z,3
6ZfuNTqbHE8,"I had new headphone "" maybe it will use in trailer damm 💥 it was useful after this trailer beside Endgame last greatest movie including upcoming MOST 🎉 BLUE BETEL "" Secret Invasion ....🗿",UgxGnKBzv7cqCZXGvJR4AaABAg,2023-04-05T14:49:15Z,2023-04-05T14:49:15Z,0
6ZfuNTqbHE8,"Still , we wish Loki was there to , fighting side by side with his brother , and finally have his happy ending as a hero not the vilain they think he is. We miss you Loki",Ugx7HK9nd09swaxnSn54AaABAg,2023-04-05T13:37:24Z,2023-04-05T13:37:24Z,1
6ZfuNTqbHE8,I had an exhaisting day. But this... this does put a smile on my face,Ugwq1T3LXufCY0CE2vt4AaABAg,2023-04-05T12:44:39Z,2023-04-05T12:44:39Z,0
6ZfuNTqbHE8,"Wanted some goosebumps, so came to watch this",Ugx5PSWCe637U3YYCKZ4AaABAg,2023-04-05T12:16:34Z,2023-04-05T12:16:34Z,0
6ZfuNTqbHE8,0:34 the way the theme starts playing gets me hyped everytime,UgwYlQSxn4yGS2Pi3Ad4AaABAg,2023-04-05T11:15:54Z,2023-04-05T11:15:54Z,0
6ZfuNTqbHE8,"The hype was strong with this film!
Watching this trailer for the first time was not great,it was PHENOMENAL!",Ugw-PzsVy7VKuMc-URx4AaABAg,2023-04-05T10:44:50Z,2023-04-05T10:44:50Z,1
6ZfuNTqbHE8,Legend watching 2023,UgxK0UtGr1ua3zskq8d4AaABAg,2023-04-05T10:44:48Z,2023-04-05T10:44:48Z,0
6ZfuNTqbHE8,I miss these marvel years before they went full disney,Ugws1teyqksArrXvz354AaABAg,2023-04-05T04:12:43Z,2023-04-05T04:12:43Z,0
6ZfuNTqbHE8,"5 Years later, I can confirm, this is still just as epic as it was in 2018.",Ugz3V-kcZo40rwEEz3F4AaABAg,2023-04-05T04:06:58Z,2023-04-05T04:06:58Z,0
6ZfuNTqbHE8,I don't think anyone could forget those feelings they had at the end of this epic movie. 5 years later and watching Endgame 2000 times and I'm still recovering.,Ugy443vq1uDQ-vFjsmp4AaABAg,2023-04-05T00:44:02Z,2023-04-05T00:44:02Z,30
6ZfuNTqbHE8,Hope we all can get the same feeling of this infinity war vibe on any upcoming new avengers movie again,Ugzd3bFn9fh6mPi3edh4AaABAg,2023-04-04T23:01:15Z,2023-04-04T23:01:15Z,0
6ZfuNTqbHE8,🔥 🔥,UgzDYRD6V7zfnvE4Hxx4AaABAg,2023-04-04T22:49:25Z,2023-04-04T22:49:25Z,0
6ZfuNTqbHE8,Start From 0:30 I who can feel  the Marvel BGM,UgzVQ-abzdv50-Ft38B4AaABAg,2023-04-04T17:40:25Z,2023-04-04T17:40:25Z,0
6ZfuNTqbHE8,It's been five years.. and still gives me  goosebumps 😭❤️🔥,UgzmMMW_W2mSueYto9l4AaABAg,2023-04-04T14:14:45Z,2023-04-04T14:14:45Z,0
6ZfuNTqbHE8,It's been more than 4 years and i still can't believe of how marvel fooled us byfalsely showing hulk fighting in wakandan battle.,Ugw71myh9pJvevIDW714AaABAg,2023-04-04T10:10:24Z,2023-04-04T10:10:24Z,1
6ZfuNTqbHE8,Golden Era of The MCU,UgzzbrSNePJDilWrP514AaABAg,2023-04-04T07:06:00Z,2023-04-04T07:06:00Z,1
6ZfuNTqbHE8,I can't believe it. It's been five years now,UgxENti-pDahRkfYc8V4AaABAg,2023-04-04T06:47:25Z,2023-04-04T06:47:25Z,0
