Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,label,confidence
WHXq62VCaCM,UgzboDu4P34trhFzu8V4AaABAg,2021-12-03T14:01:14Z,2021-12-03T14:01:14Z,401,Check out what else is coming to HBO Max: https://youtube.com/playlist?list=PLSduohp5OGX6fdJansFhmOYSp1Tbj0rHt,NON_HATE,0.9346826076507568
WHXq62VCaCM,UgwZZWL0hZF-5qoDo494AaABAg,2023-06-16T07:56:46Z,2023-06-16T07:56:46Z,0,❤,NON_HATE,0.9780728220939636
WHXq62VCaCM,Ugy9kKQOMeZKudjtMM14AaABAg,2023-05-31T20:12:56Z,2023-05-31T20:12:56Z,2,This show is soo woke yet it's not bad which is so weird,NON_HATE,0.9629812836647034
WHXq62VCaCM,Ugxc-tWx5Y2pELuzXFF4AaABAg,2023-05-23T13:57:35Z,2023-05-23T13:57:35Z,0,"Brilliant show made by a crazy genius as James Gunn, it's had everything. I'm afraid we'll must wait until the end of Superman: Legacy for season 2. I hope I'm wrong...",NON_HATE,0.969641923904419
WHXq62VCaCM,UgxzI3dwCJZxv6z9cYl4AaABAg,2023-05-19T10:45:33Z,2023-05-19T10:45:33Z,0,Man I hope nothing bad happened to peacemaker,NON_HATE,0.955746591091156
WHXq62VCaCM,UgyDWq-rrRSyQ_y_3514AaABAg,2023-05-17T22:40:54Z,2023-05-17T22:40:54Z,1,Good show overall. A bit preachy in a negative way but it’s only a few moments that don’t last long. Everything else is pretty damn good,NON_HATE,0.964236319065094
WHXq62VCaCM,UgxirYJFfsylaBoTjxh4AaABAg,2023-05-09T12:17:55Z,2023-05-09T12:17:55Z,0,John cena 🥰,NON_HATE,0.9655278325080872
WHXq62VCaCM,UgzEBe409F1uZHoMvWl4AaABAg,2023-05-06T08:39:56Z,2023-05-06T08:39:56Z,1,Ggs,NON_HATE,0.9780728220939636
WHXq62VCaCM,UgxSvoIFNK1EonUOsVV4AaABAg,2023-05-02T00:09:41Z,2023-05-02T00:09:41Z,0,Sure,NON_HATE,0.9780728220939636
WHXq62VCaCM,UgwGeFQKlDng-4gXsOt4AaABAg,2023-04-14T13:39:41Z,2023-04-14T13:39:41Z,0,Watching this now,NON_HATE,0.9779350757598877
WHXq62VCaCM,UgwnO7RSJa9aqiVCGZp4AaABAg,2023-03-31T06:06:33Z,2023-03-31T06:06:33Z,0,Dude I really enjoyed the show. A lot. It’s one of those shows that are action comedy that make you feel happy watching it. I just rewatched it again and yeah it’s phenomenal. I wish/hope James Gunn does fight scenes like in this show from now on in the DCU.,NON_HATE,0.9614676237106323
WHXq62VCaCM,UgwvKVGi32ZpGnucrFd4AaABAg,2023-03-28T21:59:23Z,2023-03-28T21:59:23Z,0,there's a load of woke nonsense but the tone of the show makea it seem tongue in cheek,NON_HATE,0.9491811990737915
WHXq62VCaCM,UgxVw-Dl_pe-jTW2gkJ4AaABAg,2023-03-23T19:02:35Z,2023-03-23T19:02:35Z,1,Can’t get enough of this masterpiece!!!!👏👏👏👏,NON_HATE,0.9493089318275452
